restaurant_id,restaurant_name,url,restaurant_type,rating_average,num_of_reviews,price_level,address,latitude,longitude,phone,created_at,district
48,Brown pepper 브라운페퍼 다낭,https://www.google.com/maps/place/Brown+pepper+%EB%B8%8C%EB%9D%BC%EC%9A%B4%ED%8E%98%ED%8D%BC+%EB%8B%A4%EB%82%AD/data=!4m7!3m6!1s0x31421905016c7c47:0x98fd1df8c51f1311!8m2!3d16.0654566!4d108.2241352!16s%2Fg%2F11y28_grv1!19sChIJR3xsAQUZQjERERMfxfgd_Zg?authuser=0&hl=en&rclk=1,Western restaurant,4.9,363,Unknown,"200 Bạch Đằng, Phước Ninh, Hải Châu, Đà Nẵng 550000",16.0654373,108.2241898,898213530,2025-03-21 21:00:50.573,Hải Châu
49,L'Italiano Riverside DaNang,https://www.google.com/maps/place/L%27Italiano+Riverside+DaNang/data=!4m7!3m6!1s0x3142196693e4a3bb:0x92c84d4b7ffa80e8!8m2!3d16.0632508!4d108.2302591!16s%2Fg%2F11vypz484z!19sChIJu6Pkk2YZQjER6ID6f0tNyJI?authuser=0&hl=en&rclk=1,Restaurant,5.0,581,₫200–300K,"493 Đ. Trần Hưng Đạo, An Hải Trung, Sơn Trà, Đà Nẵng 550000",16.0633125,108.2303162,911500440,2025-03-21 21:18:59.280,Sơn Trà
50,My Hanh Seafood,https://www.google.com/maps/place/My+Hanh+Seafood/data=!4m7!3m6!1s0x314217ee3600dbb9:0xd51ecb708db1b26c!8m2!3d16.065385!4d108.2460442!16s%2Fg%2F11h5f6yvdc!19sChIJudsANu4XQjERbLKxjXDLHtU?authuser=0&hl=en&rclk=1,Seafood restaurant,4.7,3332,Unknown,"3-5 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 550000",16.0654373,108.2460632,967748668,2025-03-21 22:02:17.977,Sơn Trà
51,IVEGAN SUPERSHOP Đà Nẵng,https://www.google.com/maps/place/IVEGAN+SUPERSHOP+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x31421729485e6249:0xcec386c3b4499394!8m2!3d16.0487676!4d108.2464587!16s%2Fg%2F11ng5jfs7f!19sChIJSWJeSCkXQjERlJNJtMOGw84?authuser=0&hl=en&rclk=1,Vegan restaurant,4.8,1315,₫100–200K,"Lô 31 An Thượng 4, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000",16.0488129,108.2464371,2366522331,2025-03-22 11:58:19.500,Ngũ Hành Sơn
52,Gypsy Rooftop Restaurant & Bar,https://www.google.com/maps/place/Gypsy+Rooftop+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3142190c4beda5ef:0x14568ecf8256aa25!8m2!3d16.0826849!4d108.2212587!16s%2Fg%2F11khkc9s2m!19sChIJ76XtSwwZQjERJapWgs-OVhQ?authuser=0&hl=en&rclk=1,Restaurant,4.9,1313,"₫1,000,000+","20 Đống Đa, Street, Hải Châu, Đà Nẵng 550000",16.0826875,108.2213125,767194074,2025-04-25 20:23:14.077,Hải Châu
53,Bistecca Italian Restaurant in Da Nang,https://www.google.com/maps/place/Bistecca+Italian+Restaurant+in+Da+Nang/data=!4m7!3m6!1s0x3142196de9ccba2f:0x7233cc1778c9e453!8m2!3d16.0827532!4d108.2212419!16s%2Fg%2F11f73ypv2v!19sChIJL7rM6W0ZQjERU-TJeBfMM3I?authuser=0&hl=en&rclk=1,Restaurant,4.9,982,Unknown,"20 Đống Đa, Thuận Phước, Hải Châu, Đà Nẵng 550000",16.0828125,108.2211875,702663456,2025-04-25 21:10:46.627,Hải Châu
55,My Casa,https://www.google.com/maps/place/My+Casa/data=!4m7!3m6!1s0x31421785e49d43cf:0x6faad102267d0598!8m2!3d16.0717751!4d108.2427547!16s%2Fg%2F1q62bw489!19sChIJz0Od5IUXQjERmAV9JgLRqm8?authuser=0&hl=en&rclk=1,Spanish restaurant,4.6,1737,Unknown,"53 Morrison, Phước Mỹ, Sơn Trà, Đà Nẵng 553422",16.0718125,108.2428125,343268772,2025-04-26 16:12:09.620,Sơn Trà
56,BẾP KIM - 레스토랑 (Kim Restaurant and Coffee),https://www.google.com/maps/place/B%E1%BA%BEP+KIM+-+%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91+%28Kim+Restaurant+and+Coffee%29/data=!4m7!3m6!1s0x314219b1ea033bc9:0x7e7bd8793e76cd6!8m2!3d16.074872!4d108.2210984!16s%2Fg%2F11l38ff09l!19sChIJyTsD6rEZQjER1mznk4e95wc?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.8,346,₫100–200K,"37 Quang Trung, Hải Châu 1, Hải Châu, Đà Nẵng 550000",16.0748125,108.2210625,905588507,2025-04-26 17:05:08.920,Hải Châu
57,Bếp Hên,https://www.google.com/maps/place/B%E1%BA%BFp+H%C3%AAn/data=!4m7!3m6!1s0x314219b85d3066c5:0x49abed782034b9e8!8m2!3d16.0639161!4d108.2210361!16s%2Fg%2F11h0vttspf!19sChIJxWYwXbgZQjER6Lk0IHjtq0k?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.5,623,₫100–200K,"47 Lê Hồng Phong, Phước Ninh, Hải Châu, Đà Nẵng 84236",16.0639375,108.2210625,935337705,2025-04-26 19:59:12.503,Hải Châu
59,Fatfish Restaurant & Lounge Bar,https://www.google.com/maps/place/Fatfish+Restaurant+%26+Lounge+Bar/data=!4m7!3m6!1s0x3142182ceeed1a37:0xe27c84359c53b1e5!8m2!3d16.0648589!4d108.2301009!16s%2Fg%2F11b8tnp0rh!19sChIJNxrt7iwYQjER5bFTnDWEfOI?authuser=0&hl=en&rclk=1,Fusion restaurant,4.4,849,₫₫₫,"439 Đ. Trần Hưng Đạo, An Hải Trung, Sơn Trà, Đà Nẵng 550000",16.0648125,108.2300625,2363945707,2025-04-26 21:27:11.647,Sơn Trà
60,The Nomad Kitchen,https://www.google.com/maps/place/The+Nomad+Kitchen/data=!4m7!3m6!1s0x314217ba67f110c9:0xb08b0bde0bae84ee!8m2!3d16.0507892!4d108.2463792!16s%2Fg%2F11qt0s0yz2!19sChIJyRDxZ7oXQjER7oSuC94Li7A?authuser=0&hl=en&rclk=1,Spanish restaurant,4.7,744,₫100–200K,"21-23 An Thượng 32, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000",16.0508125,108.2464375,961061173,2025-04-26 22:42:19.830,Ngũ Hành Sơn
61,Pink Salt Restaurant,https://www.google.com/maps/place/Pink+Salt+Restaurant/data=!4m7!3m6!1s0x31421bd67d60964f:0xe117a8d6a3bcd740!8m2!3d16.066905!4d108.2445128!16s%2Fg%2F11vf1bxgkn!19sChIJT5ZgfdYbQjERQNe8o9aoF-E?authuser=0&hl=en&rclk=1,Fusion restaurant,4.9,1249,Unknown,"79 Hà Bổng, Phước Mỹ, Sơn Trà, Đà Nẵng 50000",16.0669375,108.2445625,898201090,2025-04-26 23:32:28.763,Sơn Trà
62,All Seasons Buffet Da Nang,https://www.google.com/maps/place/All+Seasons+Buffet+Da+Nang/data=!4m7!3m6!1s0x3142177abb885d07:0x8a7c9d0d632f15d9!8m2!3d16.055459!4d108.2430332!16s%2Fg%2F11lds3gkxv!19sChIJB12Iu3oXQjER2RUvYw2dfIo?authuser=0&hl=en&rclk=1,Restaurant,4.9,2109,"₫1,000,000+","193 Nguyễn Văn Thoại, An Hải Đông, Ngũ Hành Sơn, Đà Nẵng 550000",16.0554375,108.2430625,764068111,2025-04-27 00:14:55.250,Ngũ Hành Sơn
63,PapaSteak Điện Biên Phủ,https://www.google.com/maps/place/PapaSteak+%C4%90i%E1%BB%87n+Bi%C3%AAn+Ph%E1%BB%A7/data=!4m7!3m6!1s0x314219857d0de861:0x838904229a1257e6!8m2!3d16.0654147!4d108.1953212!16s%2Fg%2F11snyvggt9!19sChIJYegNfYUZQjER5lcSmiIEiYM?authuser=0&hl=en&rclk=1,Restaurant,4.4,356,₫100–200K,"225 Điện Biên Phủ, Chính Gián, Thanh Khê, Đà Nẵng 550000",16.0654375,108.1953125,941356868,2025-04-27 09:37:14.230,Thanh Khê
64,Torino Bakery,https://www.google.com/maps/place/Torino+Bakery/data=!4m7!3m6!1s0x3142177bf63ad1f3:0xbda11aae4316b860!8m2!3d16.0487702!4d108.2408326!16s%2Fg%2F11d_72zjcd!19sChIJ89E69nsXQjERYLgWQ64aob0?authuser=0&hl=en&rclk=1,Bakery,4.7,1075,"₫1–200,000","162 -164, 164 Châu Thị Vĩnh Tế, Ngũ Hành Sơn, Đà Nẵng",16.0488125,108.2408125,932046296,2025-04-27 09:58:51.373,Ngũ Hành Sơn
65,Cabanon Palace,https://www.google.com/maps/place/Cabanon+Palace/data=!4m7!3m6!1s0x314219cf845a3c6b:0xc5938cb8fc09c57a!8m2!3d16.0737348!4d108.2408397!16s%2Fg%2F11gr1625yh!19sChIJazxahM8ZQjEResUJ_LiMk8U?authuser=0&hl=en&rclk=1,French restaurant,4.8,1231,"₫1,000,000+","Cordial Grand Hotel, 21th floor, 27-29 Loseby, Street, Sơn Trà, Đà Nẵng 550000",16.0736875,108.2408125,796653020,2025-04-26 20:42:30.087,Sơn Trà
66,The View - Yacht Restaurant Da Nang,https://www.google.com/maps/place/The+View+-+Yacht+Restaurant+Da+Nang/data=!4m7!3m6!1s0x31423dbb8bd2c75d:0xd7d7d7f61ed0ac44!8m2!3d16.0641685!4d108.2296915!16s%2Fg%2F11v3_qbsjp!19sChIJXcfSi7s9QjERRKzQHvbX19c?authuser=0&hl=en&rclk=1,Seafood restaurant,4.7,685,Unknown,"Du thuyền Happy Yacht, An Hải, Hải Châu, Đà Nẵng 50400",16.0641875,108.2296875,898173183,2025-05-01 22:48:27.757,Hải Châu
67,Bếp Quê,https://www.google.com/maps/place/B%E1%BA%BFp+Qu%C3%AA/data=!4m7!3m6!1s0x314219184d84e499:0x510b26070869c873!8m2!3d16.0659438!4d108.2237539!16s%2Fg%2F11kb94jqbw!19sChIJmeSETRgZQjERc8hpCAcmC1E?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.8,2239,₫100–200K,"187 Trần Phú, Phước Ninh, Hải Châu, Đà Nẵng 50000",16.0659375,108.2238125,799429739,2025-05-01 23:14:24.790,Hải Châu
68,Riverside Terrace Restaurant (formerly L'Italiano Riverside DaNang),https://www.google.com/maps/place/Riverside+Terrace+Restaurant+%28formerly+L%27Italiano+Riverside+DaNang%29/data=!4m7!3m6!1s0x3142196693e4a3bb:0x92c84d4b7ffa80e8!8m2!3d16.0632508!4d108.2302591!16s%2Fg%2F11vypz484z!19sChIJu6Pkk2YZQjER6ID6f0tNyJI?authuser=0&hl=en&rclk=1,Italian restaurant,5.0,711,₫200–300K,"493 Đ. Trần Hưng Đạo, An Hải Trung, Sơn Trà, Đà Nẵng 550000",16.0633125,108.2303125,911500440,2025-05-01 23:44:44.150,Sơn Trà
69,Ơ Kìa - Seafood Restaurant,https://www.google.com/maps/place/%C6%A0+K%C3%ACa+-+Seafood+Restaurant/data=!4m7!3m6!1s0x3142199eef80bd7d:0x74fe36a686707bc2!8m2!3d16.0801078!4d108.2230986!16s%2Fg%2F11tfmznbvm!19sChIJfb2A754ZQjERwntwhqY2_nQ?authuser=0&hl=en&rclk=1,Seafood restaurant,4.8,1127,Unknown,"7 Trần Phú, Thạch Thang, Hải Châu, Đà Nẵng 550000",16.0800625,108.2230625,906430707,2025-05-02 00:26:37.173,Hải Châu
70,Roots Plant-based Cafe - Healthy Vegan restaurant,https://www.google.com/maps/place/Roots+Plant-based+Cafe+-+Healthy+Vegan+restaurant/data=!4m7!3m6!1s0x3142171cef03cf01:0x8bc2a190f42f983!8m2!3d16.0486723!4d108.2478556!16s%2Fg%2F11fd4prghb!19sChIJAc8D7xwXQjERg_lCDxkqvAg?authuser=0&hl=en&rclk=1,Vegan restaurant,4.7,2223,₫100–200K,"26-27 Trần Bạch Đằng, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000",16.0486875,108.2478125,865528252,2025-05-02 00:59:23.850,Ngũ Hành Sơn
71,Bikini Bottom Express,https://www.google.com/maps/place/Bikini+Bottom+Express/data=!4m7!3m6!1s0x3142176fe447155f:0x9c6983231589d465!8m2!3d16.0487632!4d108.2475435!16s%2Fg%2F11fj5s7t0z!19sChIJXxVH5G8XQjERZdSJFSODaZw?authuser=0&hl=en&rclk=1,American restaurant,4.7,5325,₫100–200K,"45-47 An Thượng 2, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000",16.0488125,108.2475625,934916911,2025-05-02 01:42:36.320,Ngũ Hành Sơn
